,bedrooms,bathrooms,price,neighbourhood_cleansed,property_type,zestimate,ROI
0,4,2.0,350.0,San Jose,Condominium,870924.0,-0.8528270878160649
1,2,1.0,109.0,Milpitas,Townhouse,617169.0,-0.9353211198255904
2,1,1.5,110.0,Sunnyvale,Townhouse,999818.0,-0.9597086488289526
3,1,1.0,150.0,Palo Alto,Townhouse,2873266.0,-0.9808814248259325
4,2,2.5,250.0,San Jose,Townhouse,1105194.0,-0.9171597143184935
5,1,1.5,130.0,San Jose,Condominium,892581.0,-0.9466621123678264
6,3,2.0,239.0,San Jose,Condominium,1000056.0,-0.9124787163129131
7,3,2.5,250.0,Sunnyvale,Townhouse,3025946.0,-0.9697434829658274
8,3,2.5,330.0,Santa Clara,Townhouse,2064789.0,-0.9414700221497682
9,2,1.0,139.0,San Jose,Townhouse,1426630.0,-0.9643184636509967
10,1,1.0,149.0,Mountain View,Condominium,1934358.0,-0.9717908816934001
11,1,1.0,189.0,San Jose,Condominium,1374972.0,-0.9496605985138054
12,2,2.5,125.0,Mountain View,Townhouse,1451134.0,-0.9684541239149911
13,3,3.5,388.0,Palo Alto,Townhouse,2696179.0,-0.9472984848007897
14,2,2.0,199.0,Milpitas,Townhouse,802982.0,-0.9092414885912568
15,2,1.0,120.0,San Jose,Condominium,550000.0,-0.9200978152493207
16,3,2.5,305.0,Mountain View,Townhouse,1610000.0,-0.9306232324434447
17,4,3.0,599.0,San Jose,Condominium,1578674.0,-0.8610449087540591
18,1,1.0,175.0,San Jose,Condominium,630886.0,-0.8984155446698123
19,2,2.0,499.0,San Jose,Condominium,1210000.0,-0.8489727644295871
20,3,2.0,375.0,San Jose,Condominium,930000.0,-0.8523313117846987
21,1,1.0,131.0,Santa Clara,Condominium,850000.0,-0.943559290085427
22,3,2.0,229.0,San Jose,Condominium,1298693.0,-0.935424306274667
23,2,1.5,200.0,San Jose,Condominium,1081137.0,-0.9322531100547022
24,2,1.0,2000.0,Santa Clara,Condominium,1969707.0,-0.6281494183917231
25,2,1.0,195.0,Campbell,Condominium,922585.0,-0.9225951238954463
26,1,1.0,2500.0,Santa Clara,Condominium,850000.0,0.07711278462925653
27,3,3.0,1700.0,San Jose,Townhouse,1103645.0,-0.4358954287694771
28,3,2.5,350.0,Santa Clara,Townhouse,1472757.0,-0.9129683842134978
29,3,3.0,328.0,San Jose,Condominium,1207402.0,-0.9005139814727368
30,2,1.5,189.0,Palo Alto,Townhouse,3749185.0,-0.9815385830413074
31,2,2.0,100.0,San Jose,Condominium,754096.0,-0.9514361106843231
32,1,1.0,179.0,San Jose,Condominium,1299300.0,-0.9495473839201597
33,2,2.5,140.0,San Jose,Townhouse,214665.0,-0.7611600934090206
34,3,2.5,180.0,Milpitas,Townhouse,802982.0,-0.9179068741026443
35,2,2.0,300.0,Santa Clara,Condominium,1593976.0,-0.9310745556820277
36,2,2.0,148.0,San Jose,Condominium,641876.0,-0.915559523455396
37,1,1.0,189.0,San Jose,Townhouse,1349510.0,-0.9487108153772287
38,2,2.0,240.0,San Jose,Condominium,804781.0,-0.8907871790887865
39,2,1.0,118.0,San Jose,Condominium,762565.0,-0.9433310407383951
40,3,2.5,220.0,San Jose,Townhouse,967359.0,-0.9167134059948082
41,2,2.5,161.0,San Jose,Townhouse,1266270.0,-0.9534371391325661
42,1,1.0,89.0,Campbell,Townhouse,1030014.0,-0.9683563205326516
43,4,3.5,215.0,Milpitas,Townhouse,1040296.0,-0.9243129411663616
44,3,3.0,150.0,San Jose,Condominium,945850.0,-0.9419223428491915
45,1,1.0,145.0,Mountain View,Condominium,1164794.0,-0.9544111145127616
46,2,2.0,175.0,Santa Clara,Condominium,1332475.0,-0.9519028794645747
47,4,2.5,360.0,San Jose,Townhouse,650325.0,-0.7972727408009518
48,2,2.0,187.0,Los Altos,Condominium,1709769.0,-0.9599461501251175
